5,9,1,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,4,0,0,0,
0,0,25,0,25,23,23,23,23,23,23,23,23,23,23,
23,4,0,0,0,0,24,0,25,0,22,22,22,22,22,
23,23,23,23,23,23,4,20,0,0,0,0,24,0,25,
22,22,22,22,22,23,23,23,23,23,23,4,0,0,0,
0,0,0,24,0,22,22,22,22,22,23,1,1,1,1,
1,0,0,0,0,0,0,0,0,0,22,22,22,22,22,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,23,23,23,23,23,23,0,0,0,0,
20,0,0,0,0,0,0,0,20,0,23,23,23,23,23,
23,0,0,0,0,0,0,0,0,0,2,2,2,2,2,
23,23,23,23,23,23,0,24,0,0,0,0,20,0,3,
23,23,23,23,23,23,23,23,23,23,23,25,0,24,0,
0,0,0,0,3,23,23,23,23,23,23,23,23,23,23,
23,0,25,0,24,0,0,0,0,3,23,23,23,23,23,
23,23,23,23,23,23,25,0,25,0,0,0,0,0,3,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
