7,9,5,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,24,24,0,0,0,0,24,0,0,
0,0,0,0,0,23,23,23,23,23,23,24,24,0,0,
0,24,24,24,0,0,0,0,20,0,22,22,22,22,22,
23,0,20,0,0,0,0,24,0,0,0,0,0,0,0,
22,22,22,22,22,23,0,0,0,0,0,20,0,0,0,
0,0,0,0,0,22,22,22,22,22,23,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,
23,0,0,0,0,0,0,0,0,0,20,20,0,0,0,
23,23,23,23,23,23,0,0,20,20,20,0,0,0,0,
20,20,20,0,0,23,23,23,23,23,23,0,0,20,0,
0,0,0,0,0,20,20,20,20,0,23,23,23,23,23,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,23,23,23,23,23,23,0,0,0,0,
0,0,0,0,24,24,24,0,0,0,23,23,23,23,23,
23,24,24,0,0,0,0,20,0,0,24,0,0,24,24,
23,23,23,23,23,23,24,24,0,0,0,0,0,0,0,
0,0,0,24,24,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
