2,5,6,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,22,22,4,0,0,0,0,0,0,
25,24,25,24,25,23,23,23,23,23,23,22,22,4,0,
0,0,20,0,0,0,25,24,25,24,22,22,22,22,22,
23,1,1,0,0,0,0,20,0,0,0,0,25,24,25,
22,22,22,22,22,23,0,0,0,0,20,0,0,20,0,
0,0,0,25,24,22,22,22,22,22,23,0,0,0,0,
20,0,0,0,0,0,0,0,0,25,22,22,22,22,22,
23,0,0,0,0,20,0,0,0,0,0,0,0,0,0,
23,23,23,23,23,23,0,0,0,0,20,20,0,0,0,
0,0,0,0,0,23,23,23,23,23,23,0,20,20,20,
20,20,20,20,20,20,20,20,0,0,23,23,23,23,23,
23,0,0,0,0,20,20,0,0,0,0,0,0,0,0,
23,23,23,23,23,23,24,0,0,0,20,0,0,0,0,
0,0,0,0,0,23,23,23,23,23,23,25,24,0,0,
20,0,0,0,0,0,0,0,2,2,23,23,23,23,23,
23,24,25,24,0,0,0,20,0,0,0,0,3,22,22,
23,23,23,23,23,23,25,24,25,24,0,0,0,0,0,
0,0,3,22,22,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
